symbol,prediction_session,target_session,exclusion_reason
DNAMEDIA.NS,2021-03-01,2021-03-08,NOT_NEXT_SESSION(missed=4)
DNAMEDIA.NS,2021-03-08,2021-03-16,NOT_NEXT_SESSION(missed=4)
DPABHUSHAN.NS,2019-08-23,2019-08-27,NOT_NEXT_SESSION(missed=1)
DPABHUSHAN.NS,2019-08-27,2019-08-29,NOT_NEXT_SESSION(missed=1)
DPABHUSHAN.NS,2019-08-29,2019-09-04,NOT_NEXT_SESSION(missed=2)
DPABHUSHAN.NS,2019-09-04,2019-09-19,NOT_NEXT_SESSION(missed=9)
DPABHUSHAN.NS,2019-09-25,2019-10-01,NOT_NEXT_SESSION(missed=3)
DPABHUSHAN.NS,2019-10-04,2019-10-15,NOT_NEXT_SESSION(missed=5)
DPABHUSHAN.NS,2019-10-15,2019-10-25,NOT_NEXT_SESSION(missed=6)
DPABHUSHAN.NS,2019-10-25,2019-11-04,NOT_NEXT_SESSION(missed=5)
DPABHUSHAN.NS,2019-11-04,2019-11-06,NOT_NEXT_SESSION(missed=1)
DPABHUSHAN.NS,2019-11-06,2019-11-08,NOT_NEXT_SESSION(missed=1)
DPABHUSHAN.NS,2019-11-08,2019-11-14,NOT_NEXT_SESSION(missed=2)
DPABHUSHAN.NS,2019-11-14,2019-11-20,NOT_NEXT_SESSION(missed=3)
DPABHUSHAN.NS,2019-11-20,2019-11-25,NOT_NEXT_SESSION(missed=2)
DPABHUSHAN.NS,2019-11-27,2019-12-04,NOT_NEXT_SESSION(missed=4)
DPABHUSHAN.NS,2019-12-04,2019-12-06,NOT_NEXT_SESSION(missed=1)
DPABHUSHAN.NS,2019-12-13,2019-12-19,NOT_NEXT_SESSION(missed=3)
DPABHUSHAN.NS,2019-12-20,2019-12-31,NOT_NEXT_SESSION(missed=5)
DPABHUSHAN.NS,2019-12-31,2020-01-06,NOT_NEXT_SESSION(missed=3)
DPABHUSHAN.NS,2020-01-06,2020-01-08,NOT_NEXT_SESSION(missed=1)
DPABHUSHAN.NS,2020-01-10,2020-01-14,NOT_NEXT_SESSION(missed=1)
DPABHUSHAN.NS,2020-01-14,2020-01-17,NOT_NEXT_SESSION(missed=2)
DPABHUSHAN.NS,2020-01-21,2020-01-23,NOT_NEXT_SESSION(missed=1)
DPABHUSHAN.NS,2020-01-28,2020-01-31,NOT_NEXT_SESSION(missed=2)
DPABHUSHAN.NS,2020-01-31,2020-02-03,NOT_NEXT_SESSION(missed=1)
DPABHUSHAN.NS,2020-02-03,2020-02-05,NOT_NEXT_SESSION(missed=1)
DPABHUSHAN.NS,2020-02-05,2020-02-07,NOT_NEXT_SESSION(missed=1)
DPABHUSHAN.NS,2020-02-11,2020-02-14,NOT_NEXT_SESSION(missed=2)
DPABHUSHAN.NS,2020-02-18,2020-02-20,NOT_NEXT_SESSION(missed=1)
DPABHUSHAN.NS,2020-03-23,2020-03-27,NOT_NEXT_SESSION(missed=3)
DPABHUSHAN.NS,2020-03-30,2020-04-01,NOT_NEXT_SESSION(missed=1)
DPABHUSHAN.NS,2020-04-08,2020-04-15,NOT_NEXT_SESSION(missed=2)
DPABHUSHAN.NS,2020-04-17,2020-04-24,NOT_NEXT_SESSION(missed=4)
DPABHUSHAN.NS,2020-04-24,2020-05-14,NOT_NEXT_SESSION(missed=12)
DPABHUSHAN.NS,2020-05-14,2020-05-21,NOT_NEXT_SESSION(missed=4)
DPABHUSHAN.NS,2020-05-22,2020-06-10,NOT_NEXT_SESSION(missed=11)
DPABHUSHAN.NS,2020-06-10,2020-06-17,NOT_NEXT_SESSION(missed=4)
DPABHUSHAN.NS,2020-06-19,2020-06-25,NOT_NEXT_SESSION(missed=3)
DPABHUSHAN.NS,2020-07-14,2020-07-21,NOT_NEXT_SESSION(missed=4)
DPABHUSHAN.NS,2020-07-21,2020-07-28,NOT_NEXT_SESSION(missed=4)
DPABHUSHAN.NS,2020-07-28,2020-07-30,NOT_NEXT_SESSION(missed=1)
DPABHUSHAN.NS,2020-07-31,2020-08-06,NOT_NEXT_SESSION(missed=3)
DPABHUSHAN.NS,2020-08-06,2020-08-11,NOT_NEXT_SESSION(missed=2)
DPABHUSHAN.NS,2020-08-11,2020-08-14,NOT_NEXT_SESSION(missed=2)
DPABHUSHAN.NS,2020-08-28,2020-09-01,NOT_NEXT_SESSION(missed=1)
DPABHUSHAN.NS,2020-09-08,2020-09-10,NOT_NEXT_SESSION(missed=1)
DPABHUSHAN.NS,2020-09-11,2020-09-15,NOT_NEXT_SESSION(missed=1)
DPABHUSHAN.NS,2020-09-23,2020-09-25,NOT_NEXT_SESSION(missed=1)
DPABHUSHAN.NS,2020-10-09,2020-10-14,NOT_NEXT_SESSION(missed=2)
DRCSYSTEMS.NS,2021-11-01,2021-11-09,NOT_NEXT_SESSION(missed=4)
DRCSYSTEMS.NS,2021-11-09,2021-11-12,NOT_NEXT_SESSION(missed=2)
DRCSYSTEMS.NS,2021-11-12,2021-11-16,NOT_NEXT_SESSION(missed=1)
DRCSYSTEMS.NS,2022-01-05,2022-01-10,NOT_NEXT_SESSION(missed=2)
DRCSYSTEMS.NS,2022-01-10,2022-01-17,NOT_NEXT_SESSION(missed=4)
DRCSYSTEMS.NS,2022-01-17,2022-01-24,NOT_NEXT_SESSION(missed=4)
DRCSYSTEMS.NS,2022-01-24,2022-01-31,NOT_NEXT_SESSION(missed=3)
DRCSYSTEMS.NS,2022-01-31,2022-02-07,NOT_NEXT_SESSION(missed=4)
DRCSYSTEMS.NS,2022-02-07,2022-02-14,NOT_NEXT_SESSION(missed=4)
DRCSYSTEMS.NS,2022-02-14,2022-02-17,NOT_NEXT_SESSION(missed=2)
DRCSYSTEMS.NS,2022-02-22,2022-02-28,NOT_NEXT_SESSION(missed=3)
DRCSYSTEMS.NS,2022-02-28,2022-03-07,NOT_NEXT_SESSION(missed=3)
DRCSYSTEMS.NS,2022-03-07,2022-03-14,NOT_NEXT_SESSION(missed=4)
DRCSYSTEMS.NS,2022-03-14,2022-03-21,NOT_NEXT_SESSION(missed=3)
DRCSYSTEMS.NS,2022-03-21,2022-03-28,NOT_NEXT_SESSION(missed=4)
DRCSYSTEMS.NS,2022-03-28,2022-04-04,NOT_NEXT_SESSION(missed=4)
DRCSYSTEMS.NS,2022-04-04,2022-04-11,NOT_NEXT_SESSION(missed=4)
DRCSYSTEMS.NS,2022-04-20,2022-04-25,NOT_NEXT_SESSION(missed=2)
DRCSYSTEMS.NS,2022-04-25,2022-05-02,NOT_NEXT_SESSION(missed=4)
DRCSYSTEMS.NS,2022-05-02,2022-05-23,NOT_NEXT_SESSION(missed=13)
DRCSYSTEMS.NS,2022-05-23,2022-05-30,NOT_NEXT_SESSION(missed=4)
DRCSYSTEMS.NS,2022-05-30,2022-06-06,NOT_NEXT_SESSION(missed=4)
DRCSYSTEMS.NS,2022-06-06,2022-06-13,NOT_NEXT_SESSION(missed=4)
DRCSYSTEMS.NS,2022-06-13,2022-06-20,NOT_NEXT_SESSION(missed=4)
DRCSYSTEMS.NS,2022-06-20,2022-06-27,NOT_NEXT_SESSION(missed=4)
DRCSYSTEMS.NS,2022-06-27,2022-07-04,NOT_NEXT_SESSION(missed=4)
DRCSYSTEMS.NS,2022-07-04,2022-07-11,NOT_NEXT_SESSION(missed=4)
DRCSYSTEMS.NS,2022-12-20,2022-12-22,NOT_NEXT_SESSION(missed=1)
DRCSYSTEMS.NS,2022-12-27,2023-01-02,NOT_NEXT_SESSION(missed=3)
DRCSYSTEMS.NS,2023-01-02,2023-01-09,NOT_NEXT_SESSION(missed=4)
DRCSYSTEMS.NS,2023-01-09,2023-01-16,NOT_NEXT_SESSION(missed=4)
DRCSYSTEMS.NS,2023-01-16,2023-01-23,NOT_NEXT_SESSION(missed=4)
DRCSYSTEMS.NS,2023-01-23,2023-01-30,NOT_NEXT_SESSION(missed=3)
DRCSYSTEMS.NS,2023-01-30,2023-02-06,NOT_NEXT_SESSION(missed=4)
DRCSYSTEMS.NS,2023-02-06,2023-02-13,NOT_NEXT_SESSION(missed=4)
DWARKESH.NS,2018-11-30,2019-01-09,NOT_NEXT_SESSION(missed=26)
EIHAHOTELS.NS,2017-10-17,2017-10-23,NOT_NEXT_SESSION(missed=1)
ELGIRUBCO.NS,2024-10-24,2024-10-28,NOT_NEXT_SESSION(missed=1)
EMAMIREAL.NS,2024-12-12,2024-12-16,NOT_NEXT_SESSION(missed=1)
