timestamp,symbol,instrument_key,instrument_class,status,rows_received,rows_valid,rows_saved,rows_existing,first_session,last_session,conventions,duplicates,weekend_violations,ohlc_violations,refetch_compared,refetch_identical,error_type,error_message,elapsed_seconds,attempt
2026-09-07T14:54:36,SRGHFL.NS,NSE_EQ|INE559N01010,nse_equity,SUCCESS,756,756,746,10,2023-08-21,2026-09-07,03:45,0,0,0,10,10,,,11.35,1
2026-09-07T14:54:36,SRHHYPOLTD.NS,NSE_EQ|INE917H01012,nse_equity,SUCCESS,2477,2477,2467,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,11.42,1
2026-09-07T14:54:36,SRF.NS,NSE_EQ|INE647A01010,nse_equity,SUCCESS,2477,2477,2467,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,13.72,1
2026-09-07T14:54:37,SRM.NS,NSE_EQ|INE0R6Z01013,nse_equity,SUCCESS,603,603,593,10,2024-04-03,2026-09-07,03:45,0,0,0,10,10,,,11.21,1
2026-09-07T14:54:39,SRIKPRIND.NS,NSE_EQ|INE009C01019,nse_equity,SUCCESS,15,15,5,10,2026-08-18,2026-09-07,03:45,0,0,0,10,10,,,13.25,1
2026-09-07T14:54:39,SRTL.NS,NSE_EQ|INE19GK01015,nse_equity,SUCCESS,128,128,118,10,2026-03-02,2026-09-07,03:45,0,0,0,10,10,,,12.83,1
2026-09-07T14:54:39,STANLEY.NS,NSE_EQ|INE01A001028,nse_equity,SUCCESS,545,545,535,10,2024-06-28,2026-09-07,03:45,0,0,0,10,10,,,12.80,1
2026-09-07T14:54:39,SSDL.NS,NSE_EQ|INE0PQ101010,nse_equity,SUCCESS,510,510,500,10,2024-08-20,2026-09-07,03:45,0,0,0,10,10,,,12.83,1
2026-09-07T14:54:39,SSWL.NS,NSE_EQ|INE802C01033,nse_equity,SUCCESS,2477,2477,2467,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,12.80,1
2026-09-07T14:54:40,STARTECK.NS,NSE_EQ|INE992I01013,nse_equity,SUCCESS,1072,1072,1062,10,2022-05-04,2026-09-07,03:45,0,0,0,10,10,,,11.39,1
2026-09-07T14:54:41,STCINDIA.NS,NSE_EQ|INE655A01013,nse_equity,SUCCESS,2477,2477,2467,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,11.61,1
2026-09-07T14:54:41,STAR.NS,NSE_EQ|INE939A01011,nse_equity,SUCCESS,2477,2477,2467,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,13.16,1
2026-09-07T14:54:41,STARPAPER.NS,NSE_EQ|INE733A01018,nse_equity,SUCCESS,2477,2477,2467,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,12.99,1
2026-09-07T14:54:42,STARHEALTH.NS,NSE_EQ|INE575P01011,nse_equity,SUCCESS,1214,1214,1204,10,2016-09-09,2026-09-07,03:45,0,0,0,10,10,,,13.35,1
2026-09-07T14:54:42,STARCEMENT.NS,NSE_EQ|INE460H01021,nse_equity,SUCCESS,2285,2285,2275,10,2017-06-16,2026-09-07,03:45,0,0,0,10,10,,,13.66,1
2026-09-07T14:54:42,STEELXIND.NS,NSE_EQ|INE503B01021,nse_equity,SUCCESS,2262,2262,2252,10,2017-07-20,2026-09-07,03:45,0,0,0,10,10,,,12.38,1
2026-09-07T14:54:42,STEELCITY.NS,NSE_EQ|INE395H01011,nse_equity,SUCCESS,2265,2265,2255,10,2017-02-17,2026-09-07,03:45,0,0,0,10,10,,,12.44,1
2026-09-07T14:54:43,STEELCAS.NS,NSE_EQ|INE124E01038,nse_equity,SUCCESS,1190,1190,1180,10,2021-11-23,2026-09-07,03:45,0,0,0,10,10,,,12.59,1
2026-09-07T14:54:43,STEL.NS,NSE_EQ|INE577L01016,nse_equity,SUCCESS,2477,2477,2467,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,10.70,1
2026-09-07T14:54:44,STLSTRINF.NS,NSE_EQ|INE205F01016,nse_equity,SUCCESS,14,14,5,9,2026-08-18,2026-09-07,03:45,0,0,0,9,9,,,8.39,1
2026-09-07T14:54:44,STLNETWORK.NS,NSE_EQ|INE1VXE01018,nse_equity,SUCCESS,250,250,240,10,2025-09-04,2026-09-07,03:45,0,0,0,10,10,,,8.85,1
2026-09-07T14:54:44,STUDDS.NS,NSE_EQ|INE00Q601028,nse_equity,SUCCESS,207,207,197,10,2025-11-07,2026-09-07,03:45,0,0,0,10,10,,,8.25,1
2026-09-07T14:54:45,STOVEKRAFT.NS,NSE_EQ|INE00IN01015,nse_equity,SUCCESS,1385,1385,1375,10,2021-02-05,2026-09-07,03:45,0,0,0,10,10,,,9.05,1
2026-09-07T14:54:46,STYL.NS,NSE_EQ|INE04VU01023,nse_equity,SUCCESS,232,232,222,10,2025-09-30,2026-09-07,03:45,0,0,0,10,10,,,9.62,1
2026-09-07T14:54:48,STYLEBAAZA.NS,NSE_EQ|INE01FR01028,nse_equity,SUCCESS,497,497,487,10,2024-09-06,2026-09-07,03:45,0,0,0,10,10,,,8.33,1
2026-09-07T14:54:48,STYLAMIND.NS,NSE_EQ|INE239C01020,nse_equity,SUCCESS,1266,1266,1256,10,2021-08-02,2026-09-07,03:45,0,0,0,10,10,,,9.34,1
2026-09-07T14:54:48,SUDEEPPHRM.NS,NSE_EQ|INE0QPI01025,nse_equity,SUCCESS,192,192,182,10,2025-11-28,2026-09-07,03:45,0,0,0,10,10,,,7.14,1
2026-09-07T14:54:48,STYRENIX.NS,NSE_EQ|INE189B01011,nse_equity,SUCCESS,2477,2477,2467,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,8.54,1
