symbol,category,instrument_class,in_upstox_master,identity_class,legacy_rows,canonical_rows,intersection_sessions,legacy_only_sessions,canonical_only_sessions,replacement_pct,legacy_first,legacy_last,canonical_first,canonical_last
AMBAAUTO-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),33,0,0,33,0,0.0,2026-05-05,2026-07-06,,
DRSCARGO-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),31,0,0,31,0,0.0,2025-07-10,2026-04-15,,
SEITINVIT-IV.NS,NO_REPLACEMENT,non_equity_series,False,series_other(-IV),31,0,0,31,0,0.0,2024-02-12,2026-06-18,,
NXT-INFRA-IV.NS,NO_REPLACEMENT,non_equity_series,False,series_other(-IV),30,0,0,30,0,0.0,2024-07-02,2026-06-16,,
VALUE360-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),28,0,0,28,0,0.0,2026-05-11,2026-06-18,,
BAGMANE-RR.NS,NO_REPLACEMENT,non_equity_series,False,unknown_no_master_entry,25,0,0,25,0,0.0,2026-05-14,2026-06-18,,
ROCKPP-E1.NS,NO_REPLACEMENT,non_equity_series,False,series_other(-E1),25,0,0,25,0,0.0,2025-12-01,2026-06-17,,
SIMCA-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),24,0,0,24,0,0.0,2026-05-15,2026-06-18,,
RFBL-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),22,0,0,22,0,0.0,2026-05-19,2026-06-18,,
TEAMTECH-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),17,0,0,17,0,0.0,2026-05-26,2026-06-18,,
NFPSAMPOOR-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),16,0,0,16,0,0.0,2026-05-25,2026-06-17,,
BMLL-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),15,0,0,15,0,0.0,2026-05-29,2026-06-18,,
QLINE-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),15,0,0,15,0,0.0,2026-05-29,2026-06-18,,
MERCURYEV-BE.NS,NO_REPLACEMENT,non_equity_series,False,series_trade_for_trade(-BE/-BZ),13,0,0,13,0,0.0,2026-06-02,2026-06-18,,
INTERISE-IV.NS,NO_REPLACEMENT,non_equity_series,False,series_other(-IV),8,0,0,8,0,0.0,2018-05-14,2025-09-16,,
SHAH-RE1-BE.NS,NO_REPLACEMENT,non_equity_series,False,series_trade_for_trade(-BE/-BZ),6,0,0,6,0,0.0,2026-06-11,2026-06-18,,
GENXAI-ST.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),5,0,0,5,0,0.0,2026-06-12,2026-06-18,,
HEXAGON-BE.NS,NO_REPLACEMENT,non_equity_series,False,series_trade_for_trade(-BE/-BZ),5,0,0,5,0,0.0,2026-06-12,2026-06-18,,
KALYANI-BE.NS,NO_REPLACEMENT,non_equity_series,False,series_trade_for_trade(-BE/-BZ),4,0,0,4,0,0.0,2022-03-02,2025-07-04,,
VAML-BE.NS,NO_REPLACEMENT,non_equity_series,False,series_trade_for_trade(-BE/-BZ),4,0,0,4,0,0.0,2026-06-15,2026-06-18,,
VEDPOWER-BE.NS,NO_REPLACEMENT,non_equity_series,False,series_trade_for_trade(-BE/-BZ),4,0,0,4,0,0.0,2026-06-15,2026-06-18,,
VISL-BE.NS,NO_REPLACEMENT,non_equity_series,False,series_trade_for_trade(-BE/-BZ),4,0,0,4,0,0.0,2026-06-15,2026-06-18,,
VOGL-BE.NS,NO_REPLACEMENT,non_equity_series,False,series_trade_for_trade(-BE/-BZ),4,0,0,4,0,0.0,2026-06-15,2026-06-18,,
